,time,product,high_price,coin_open_interest_close,funding_rate,sell_coin_volume,search_resolution,search_end_time,liquidations_dollar_volume,dollar_open_interest_high,total_trades,dollar_open_interest_close,coin_open_interest_low,buy_liquidations,liquidations_coin_volume,buy_trades,dollar_volume,buy_dollar_volume,sell_liquidations,sell_dollar_volume,low_price,buy_coin_volume,coin_open_interest_high,premium,open_price,dollar_open_interest_low,search_start_time,_id,sell_liquidations_dollar_volume,coin_volume,close_price,buy_liquidations_coin_volume,exchange,sell_liquidations_coin_volume,buy_liquidations_dollar_volume,coin,sell_trades,search_params
2984,2024-01-23 14:32:00,ETHUSDT,2183.45,904525.519,0.0001,7597.7080000003,1.0,2024-01-23T14:34:00+00:00,70876.354,1974529321.669,12195,1968188241.812,904162.124,0,32.551,5208,27445662.052999787,10892730.071999976,10,16552931.981000016,2174.76,4998.7430000001,904525.519,-0.4587565922,2181.84,1967625819.047,2024-01-23T14:29:00+00:00,65afce5958261bef19b42e43,70876.354,12596.4510000006,2176.91,0.0,binance-futures,32.551,0.0,ETH,6987,
2985,2024-01-23 14:33:00,ETHUSDT,2181.47,904108.097,0.0001,2594.276,1.0,2024-01-23T14:34:00+00:00,0.0,1973150057.657,7167,1968089628.793,903981.894,0,0.0,3748,13337972.141000109,7684846.910999977,0,5653125.229999992,2176.13,3526.44,904525.519,-0.4555532916,2176.91,1967418311.651,2024-01-23T14:29:00+00:00,65afce5a58261bef19b42e49,0.0,6120.7160000001,2176.65,0.0,binance-futures,0.0,0.0,ETH,3419,
2986,2024-01-23 14:33:00,ETHUSDT,2181.47,904108.097,0.0001,2594.276,1.0,2024-01-23T14:35:00+00:00,0.0,1973150057.657,7167,1968089628.793,903981.894,0,0.0,3748,13337972.141000109,7684846.910999977,0,5653125.229999992,2176.13,3526.44,904525.519,-0.4555532916,2176.91,1967418311.651,2024-01-23T14:30:00+00:00,65afce9658261bef19b42e5d,0.0,6120.7160000001,2176.65,0.0,binance-futures,0.0,0.0,ETH,3419,
2987,2024-01-23 14:34:00,ETHUSDT,2181.24,903901.579,0.0001,2570.527,1.0,2024-01-23T14:35:00+00:00,0.0,1971790539.142,6747,1970587799.106,903767.802,0,0.0,3169,11140290.179000027,5538663.336999963,0,5601626.842,2176.06,2542.007,904108.097,-0.3518276356,2176.65,1967655656.906,2024-01-23T14:30:00+00:00,65afce9658261bef19b42e63,0.0,5112.5340000001,2179.16,0.0,binance-futures,0.0,0.0,ETH,3578,
2988,2024-01-23 14:17:00,ETHUSDT,2180.17,904638.935,0.0001,7213.618,1.0,2024-01-23T14:19:00+00:00,40743.028,1971754193.609,11760,1967732753.648,903782.853,0,18.711,5210,26598702.45499964,10909927.427,8,15688775.027999893,2171.44,5017.3310000001,904638.935,-0.3270207113,2180.17,1963732255.441,2024-01-23T14:16:00+00:00,65afcad42875f93809105a69,40743.028,12230.9490000003,2175.14,0.0,binance-futures,18.711,0.0,ETH,6550,
2989,2024-01-23 14:17:00,ETHUSDT,2180.17,904638.935,0.0001,7213.618,1.0,2024-01-23T14:20:00+00:00,40743.028,1971754193.609,11760,1967732753.648,903782.853,0,18.711,5210,26598702.45499964,10909927.427,8,15688775.027999893,2171.44,5017.3310000001,904638.935,-0.3270207113,2180.17,1963732255.441,2024-01-23T14:17:00+00:00,65afcb112875f93809105a6d,40743.028,12230.9490000003,2175.14,0.0,binance-futures,18.711,0.0,ETH,6550,
2990,2024-01-23 14:18:00,ETHUSDT,2178.31,905220.293,0.0001,2352.448,1.0,2024-01-23T14:20:00+00:00,0.0,1970435535.012,7034,1970121445.685,904518.571,0,0.0,3689,16307427.417000027,11188018.40300004,0,5119409.013999992,2173.2,5140.694,905220.293,-0.2251415964,2175.14,1966920250.813,2024-01-23T14:17:00+00:00,65afcb112875f93809105a71,0.0,7493.1420000001,2176.17,0.0,binance-futures,0.0,0.0,ETH,3345,
2991,2024-01-23 14:18:00,ETHUSDT,2178.31,905220.293,0.0001,2352.448,1.0,2024-01-23T14:21:00+00:00,0.0,1970435535.012,7034,1970121445.685,904518.571,0,0.0,3689,16307427.417000027,11188018.40300004,0,5119409.013999992,2173.2,5140.694,905220.293,-0.2251415964,2175.14,1966920250.813,2024-01-23T14:18:00+00:00,65afcb4c2875f93809105a76,0.0,7493.1420000001,2176.17,0.0,binance-futures,0.0,0.0,ETH,3345,
2992,2024-01-23 14:19:00,ETHUSDT,2178.5,904796.758,0.0001,2437.948,1.0,2024-01-23T14:22:00+00:00,0.0,1971879487.975,5119,1968385347.029,904796.758,0,0.0,2368,7850303.836000009,2545412.8679999867,0,5304890.96799999,2175.17,1169.616,905220.293,-0.2832818332,2176.17,1968385347.029,2024-01-23T14:19:00+00:00,65afcb882875f93809105a7e,0.0,3607.564,2175.38,0.0,binance-futures,0.0,0.0,ETH,2751,
2993,2024-01-23 14:19:00,ETHUSDT,2178.5,904796.758,0.0001,2437.948,1.0,2024-01-23T14:21:00+00:00,0.0,1971879487.975,5119,1968385347.029,904796.758,0,0.0,2368,7850303.836000009,2545412.8679999867,0,5304890.96799999,2175.17,1169.616,905220.293,-0.2832818332,2176.17,1968385347.029,2024-01-23T14:18:00+00:00,65afcb4c2875f93809105a7a,0.0,3607.564,2175.38,0.0,binance-futures,0.0,0.0,ETH,2751,
2994,2024-01-23 14:20:00,ETHUSDT,2177.18,904631.965,0.0001,4065.965,1.0,2024-01-23T14:23:00+00:00,3240.771,1969838957.616,7403,1966114985.868,904453.473,0,1.491,3315,14346329.624999983,5503533.165000052,2,8842796.460000008,2173.0,2530.392,904796.758,-0.3659954152,2175.38,1965904038.85,2024-01-23T14:20:00+00:00,65afcbc5d95751bf6ca6dba3,3240.771,6596.357,2173.39,0.0,binance-futures,1.491,0.0,ETH,4088,
2995,2024-01-23 14:20:00,ETHUSDT,2177.18,904631.965,0.0001,4065.965,1.0,2024-01-23T14:22:00+00:00,3240.771,1969838957.616,7403,1966114985.868,904453.473,0,1.491,3315,14346329.624999983,5503533.165000052,2,8842796.460000008,2173.0,2530.392,904796.758,-0.3659954152,2175.38,1965904038.85,2024-01-23T14:19:00+00:00,65afcb892875f93809105a82,3240.771,6596.357,2173.39,0.0,binance-futures,1.491,0.0,ETH,4088,
2996,2024-01-23 14:21:00,ETHUSDT,2174.44,903746.62,0.0001,8435.4340000001,1.0,2024-01-23T14:24:00+00:00,12303.025,1966697030.869,13087,1960483913.463,903746.62,0,5.668,5140,28024246.906999946,9714737.036999948,13,18309509.8699999,2167.67,4474.479,904919.801,-0.432730759,2173.39,1960483913.463,2024-01-23T14:21:00+00:00,65afcc01fcc24cf49afea6da,12303.025,12909.9130000002,2168.62,0.0,binance-futures,5.668,0.0,ETH,7947,
2997,2024-01-23 14:21:00,ETHUSDT,2174.44,903746.62,0.0001,8435.4340000001,1.0,2024-01-23T14:23:00+00:00,12303.025,1966697030.869,13087,1960483913.463,903746.62,0,5.668,5140,28024246.906999946,9714737.036999948,13,18309509.8699999,2167.67,4474.479,904919.801,-0.432730759,2173.39,1960483913.463,2024-01-23T14:20:00+00:00,65afcbc5d95751bf6ca6dba7,12303.025,12909.9130000002,2168.62,0.0,binance-futures,5.668,0.0,ETH,7947,
2998,2024-01-23 14:22:00,ETHUSDT,2173.48,902224.694,0.0001,3853.093,1.0,2024-01-23T14:24:00+00:00,86362.349,1964041761.81,8552,1957277228.917,902224.694,0,39.835,3931,17388859.68800008,9028526.942000031,4,8360332.745999991,2167.5,4160.511,903746.62,-0.2735761626,2168.62,1957042720.285,2024-01-23T14:21:00+00:00,65afcc01fcc24cf49afea6de,86362.349,8013.6040000002,2169.61,0.0,binance-futures,39.835,0.0,ETH,4621,
2999,2024-01-23 14:27:00,ETHUSDT,2197.57,904304.425,0.0001,5848.36,1.0,2024-01-23T14:36:02+00:00,119314.639,1986811018.335,12848,1986811018.335,904227.175,12,54.324,7305,33496941.11099978,20666372.10500001,0,12830569.005999995,2189.96,9417.3510000001,904402.756,0.2055825836,2190.46,1980900342.265,2024-01-23T14:26:02+00:00,65afced467f0fdc3d198e8d5,0.0,15265.7110000004,2196.56,54.324,binance-futures,0.0,119314.639,ETH,5543,
3000,2024-01-23 14:28:00,ETHUSDT,2198.17,904625.261,0.0001,4695.2380000001,1.0,2024-01-23T14:36:02+00:00,11783.39,1987479790.922,10842,1987479790.922,903472.506,2,5.361,4746,18502231.702000108,8192255.127999988,0,10309976.574000156,2193.39,3729.941,904625.261,0.1272670483,2196.56,1982441501.796,2024-01-23T14:26:02+00:00,65afced567f0fdc3d198e8d9,0.0,8425.1790000003,2197.51,5.361,binance-futures,0.0,11783.39,ETH,6096,
3001,2024-01-23 14:29:00,ETHUSDT,2198.32,904677.796,0.0001,3523.669,1.0,2024-01-23T14:38:27+00:00,0.0,1988646757.509,7452,1985809936.96,904466.033,0,0.0,3225,12480913.344000066,4742719.541000017,0,7738193.802999992,2194.1,2159.897,904677.796,0.1093920093,2197.51,1985119644.606,2024-01-23T14:28:27+00:00,65afcf65f66e5d392e2e7c2e,0.0,5683.566,2195.96,0.0,binance-futures,0.0,0.0,ETH,4227,
3002,2024-01-23 14:29:00,ETHUSDT,2198.32,904677.796,0.0001,3523.669,1.0,2024-01-23T14:36:02+00:00,0.0,1988646757.509,7452,1985809936.96,904466.033,0,0.0,3225,12480913.344000066,4742719.541000017,0,7738193.802999992,2194.1,2159.897,904677.796,0.1093920093,2197.51,1985119644.606,2024-01-23T14:26:02+00:00,65afced667f0fdc3d198e8dd,0.0,5683.566,2195.96,0.0,binance-futures,0.0,0.0,ETH,4227,
3003,2024-01-23 14:30:00,ETHUSDT,2196.88,904295.05,0.0001,7054.9030000002,1.0,2024-01-23T14:38:27+00:00,0.0,1987222520.674,9721,1983372651.176,903809.349,0,0.0,4467,24010862.40200019,8534814.691000007,0,15476047.711000135,2191.82,3889.856,904677.796,0.0701049285,2195.96,1982434552.103,2024-01-23T14:28:27+00:00,65afcf66f66e5d392e2e7c32,0.0,10944.7590000006,2192.4,0.0,binance-futures,0.0,0.0,ETH,5254,
3004,2024-01-23 14:30:00,ETHUSDT,2196.88,904295.05,0.0001,7054.9030000002,1.0,2024-01-23T14:36:02+00:00,0.0,1987222520.674,9721,1983372651.176,903809.349,0,0.0,4467,24010862.40200019,8534814.691000007,0,15476047.711000135,2191.82,3889.856,904677.796,0.0701049285,2195.96,1982434552.103,2024-01-23T14:26:02+00:00,65afced767f0fdc3d198e8e1,0.0,10944.7590000006,2192.4,0.0,binance-futures,0.0,0.0,ETH,5254,
3005,2024-01-23 14:31:00,ETHUSDT,2193.47,904180.926,0.0001,13764.8470000002,1.0,2024-01-23T14:38:27+00:00,54022.1,1985216467.149,13244,1973946193.464,904180.926,0,24.71,4327,42647230.0910003,12537703.914000042,7,30109526.177000094,2180.6,5734.2180000001,905553.872,-0.1029209488,2192.4,1973178050.672,2024-01-23T14:28:27+00:00,65afcf67f66e5d392e2e7c36,54022.1,19499.0649999994,2181.84,0.0,binance-futures,24.71,0.0,ETH,8917,
3006,2024-01-23 14:31:00,ETHUSDT,2193.47,904180.926,0.0001,13764.8470000002,1.0,2024-01-23T14:36:02+00:00,54022.1,1985216467.149,13244,1973946193.464,904180.926,0,24.71,4327,42647230.0910003,12537703.914000042,7,30109526.177000094,2180.6,5734.2180000001,905553.872,-0.1029209488,2192.4,1973178050.672,2024-01-23T14:26:02+00:00,65afced867f0fdc3d198e8e5,54022.1,19499.0649999994,2181.84,0.0,binance-futures,24.71,0.0,ETH,8917,
3007,2024-01-23 14:32:00,ETHUSDT,2183.45,904525.519,0.0001,7597.7080000003,1.0,2024-01-23T14:38:27+00:00,70876.354,1974529321.669,12195,1968188241.812,904162.124,0,32.551,5208,27445662.052999787,10892730.071999976,10,16552931.981000016,2174.76,4998.7430000001,904525.519,-0.4587565922,2181.84,1967625819.047,2024-01-23T14:28:27+00:00,65afcf68f66e5d392e2e7c3a,70876.354,12596.4510000006,2176.91,0.0,binance-futures,32.551,0.0,ETH,6987,
3008,2024-01-23 14:32:00,ETHUSDT,2183.45,904525.519,0.0001,7597.7080000003,1.0,2024-01-23T14:37:00+00:00,70876.354,1974529321.669,12195,1968188241.812,904162.124,0,32.551,5208,27445662.052999787,10892730.071999976,10,16552931.981000016,2174.76,4998.7430000001,904525.519,-0.4587565922,2181.84,1967625819.047,2024-01-23T14:32:00+00:00,65afcf0d58261bef19b42e7d,70876.354,12596.4510000006,2176.91,0.0,binance-futures,32.551,0.0,ETH,6987,
3009,2024-01-23 14:32:00,ETHUSDT,2183.45,904525.519,0.0001,7597.7080000003,1.0,2024-01-23T14:36:02+00:00,70876.354,1974529321.669,12195,1968188241.812,904162.124,0,32.551,5208,27445662.052999787,10892730.071999976,10,16552931.981000016,2174.76,4998.7430000001,904525.519,-0.4587565922,2181.84,1967625819.047,2024-01-23T14:26:02+00:00,65afced967f0fdc3d198e8e9,70876.354,12596.4510000006,2176.91,0.0,binance-futures,32.551,0.0,ETH,6987,
3010,2024-01-23 14:33:00,ETHUSDT,2181.47,904108.097,0.0001,2594.276,1.0,2024-01-23T14:38:27+00:00,0.0,1973150057.657,7167,1968089628.793,903981.894,0,0.0,3748,13337972.141000109,7684846.910999977,0,5653125.229999992,2176.13,3526.44,904525.519,-0.4555532916,2176.91,1967418311.651,2024-01-23T14:28:27+00:00,65afcf69f66e5d392e2e7c3e,0.0,6120.7160000001,2176.65,0.0,binance-futures,0.0,0.0,ETH,3419,
3011,2024-01-23 14:33:00,ETHUSDT,2181.47,904108.097,0.0001,2594.276,1.0,2024-01-23T14:38:00+00:00,0.0,1973150057.657,7167,1968089628.793,903981.894,0,0.0,3748,13337972.141000109,7684846.910999977,0,5653125.229999992,2176.13,3526.44,904525.519,-0.4555532916,2176.91,1967418311.651,2024-01-23T14:33:00+00:00,65afcf4858261bef19b42e97,0.0,6120.7160000001,2176.65,0.0,binance-futures,0.0,0.0,ETH,3419,
3012,2024-01-23 14:33:00,ETHUSDT,2181.47,904108.097,0.0001,2594.276,1.0,2024-01-23T14:37:00+00:00,0.0,1973150057.657,7167,1968089628.793,903981.894,0,0.0,3748,13337972.141000109,7684846.910999977,0,5653125.229999992,2176.13,3526.44,904525.519,-0.4555532916,2176.91,1967418311.651,2024-01-23T14:32:00+00:00,65afcf0d58261bef19b42e83,0.0,6120.7160000001,2176.65,0.0,binance-futures,0.0,0.0,ETH,3419,
3013,2024-01-23 14:33:00,ETHUSDT,2181.47,904108.097,0.0001,2594.276,1.0,2024-01-23T14:36:02+00:00,0.0,1973150057.657,7167,1968089628.793,903981.894,0,0.0,3748,13337972.141000109,7684846.910999977,0,5653125.229999992,2176.13,3526.44,904525.519,-0.4555532916,2176.91,1967418311.651,2024-01-23T14:26:02+00:00,65afceda67f0fdc3d198e8ed,0.0,6120.7160000001,2176.65,0.0,binance-futures,0.0,0.0,ETH,3419,
3014,2024-01-23 14:34:00,ETHUSDT,2181.24,903901.579,0.0001,2570.527,1.0,2024-01-23T14:36:02+00:00,0.0,1971790539.142,6747,1970587799.106,903767.802,0,0.0,3169,11140290.179000027,5538663.336999963,0,5601626.842,2176.06,2542.007,904108.097,-0.3518276356,2176.65,1967655656.906,2024-01-23T14:26:02+00:00,65afcedb67f0fdc3d198e8f1,0.0,5112.5340000001,2179.16,0.0,binance-futures,0.0,0.0,ETH,3578,
3015,2024-01-23 14:34:00,ETHUSDT,2181.24,903901.579,0.0001,2570.527,1.0,2024-01-23T14:37:00+00:00,0.0,1971790539.142,6747,1970587799.106,903767.802,0,0.0,3169,11140290.179000027,5538663.336999963,0,5601626.842,2176.06,2542.007,904108.097,-0.3518276356,2176.65,1967655656.906,2024-01-23T14:32:00+00:00,65afcf0d58261bef19b42e89,0.0,5112.5340000001,2179.16,0.0,binance-futures,0.0,0.0,ETH,3578,
3016,2024-01-23 14:34:00,ETHUSDT,2181.24,903901.579,0.0001,2570.527,1.0,2024-01-23T14:38:27+00:00,0.0,1971790539.142,6747,1970587799.106,903767.802,0,0.0,3169,11140290.179000027,5538663.336999963,0,5601626.842,2176.06,2542.007,904108.097,-0.3518276356,2176.65,1967655656.906,2024-01-23T14:28:27+00:00,65afcf6bf66e5d392e2e7c42,0.0,5112.5340000001,2179.16,0.0,binance-futures,0.0,0.0,ETH,3578,
3017,2024-01-23 14:34:00,ETHUSDT,2181.24,903901.579,0.0001,2570.527,1.0,2024-01-23T14:39:00+00:00,0.0,1971790539.142,6747,1970587799.106,903767.802,0,0.0,3169,11140290.179000027,5538663.336999963,0,5601626.842,2176.06,2542.007,904108.097,-0.3518276356,2176.65,1967655656.906,2024-01-23T14:34:00+00:00,65afcf8458261bef19b42eaf,0.0,5112.5340000001,2179.16,0.0,binance-futures,0.0,0.0,ETH,3578,
3018,2024-01-23 14:34:00,ETHUSDT,2181.24,903901.579,0.0001,2570.527,1.0,2024-01-23T14:38:00+00:00,0.0,1971790539.142,6747,1970587799.106,903767.802,0,0.0,3169,11140290.179000027,5538663.336999963,0,5601626.842,2176.06,2542.007,904108.097,-0.3518276356,2176.65,1967655656.906,2024-01-23T14:33:00+00:00,65afcf4858261bef19b42e9d,0.0,5112.5340000001,2179.16,0.0,binance-futures,0.0,0.0,ETH,3578,
3019,2024-01-23 14:35:00,ETHUSDT,2187.58,902534.435,0.0001,3108.155,1.0,2024-01-23T14:39:00+00:00,13520.624,1976033554.24,7950,1970368051.77,902534.435,2,6.182,4289,17400005.499999914,10612433.508999914,0,6787571.990999994,2178.05,4860.657,903901.579,-0.1270480113,2179.16,1968742834.141,2024-01-23T14:34:00+00:00,65afcf8558261bef19b42eb5,0.0,7968.8120000001,2182.81,6.182,binance-futures,0.0,13520.624,ETH,3661,
3020,2024-01-23 14:35:00,ETHUSDT,2187.58,902534.435,0.0001,3108.155,1.0,2024-01-23T14:38:00+00:00,13520.624,1976033554.24,7950,1970368051.77,902534.435,2,6.182,4289,17400005.499999914,10612433.508999914,0,6787571.990999994,2178.05,4860.657,903901.579,-0.1270480113,2179.16,1968742834.141,2024-01-23T14:33:00+00:00,65afcf4958261bef19b42ea3,0.0,7968.8120000001,2182.81,6.182,binance-futures,0.0,13520.624,ETH,3661,
3021,2024-01-23 14:35:00,ETHUSDT,2187.58,902534.435,0.0001,3108.155,1.0,2024-01-23T14:38:27+00:00,13520.624,1976033554.24,7950,1970368051.77,902534.435,2,6.182,4289,17400005.499999914,10612433.508999914,0,6787571.990999994,2178.05,4860.657,903901.579,-0.1270480113,2179.16,1968742834.141,2024-01-23T14:28:27+00:00,65afcf6cf66e5d392e2e7c46,0.0,7968.8120000001,2182.81,6.182,binance-futures,0.0,13520.624,ETH,3661,
3022,2024-01-23 14:35:00,ETHUSDT,2187.58,902534.435,0.0001,3108.155,1.0,2024-01-23T14:37:00+00:00,13520.624,1976033554.24,7950,1970368051.77,902534.435,2,6.182,4289,17400005.499999914,10612433.508999914,0,6787571.990999994,2178.05,4860.657,903901.579,-0.1270480113,2179.16,1968742834.141,2024-01-23T14:32:00+00:00,65afcf0e58261bef19b42e8f,0.0,7968.8120000001,2182.81,6.182,binance-futures,0.0,13520.624,ETH,3661,
3023,2024-01-23 14:35:00,ETHUSDT,2187.58,902534.435,0.0001,3108.155,1.0,2024-01-23T14:36:02+00:00,13520.624,1976033554.24,7950,1970368051.77,902534.435,2,6.182,4289,17400005.499999914,10612433.508999914,0,6787571.990999994,2178.05,4860.657,903901.579,-0.1270480113,2179.16,1968742834.141,2024-01-23T14:26:02+00:00,65afcedc67f0fdc3d198e8f5,0.0,7968.8120000001,2182.81,6.182,binance-futures,0.0,13520.624,ETH,3661,
3024,2024-01-23 14:36:00,ETHUSDT,2194.67,904016.533,0.0001,4136.627,1.0,2024-01-23T14:39:00+00:00,72913.804,1981630669.124,9674,1981519139.121,902534.435,6,33.243,6046,27517342.88400004,18456128.08900015,0,9061214.795000004,2182.76,8426.4170000001,904016.533,-0.004281419,2182.81,1970250722.294,2024-01-23T14:34:00+00:00,65afcf8558261bef19b42ebb,0.0,12563.0440000002,2192.87,33.243,binance-futures,0.0,72913.804,ETH,3628,
3025,2024-01-23 14:36:00,ETHUSDT,2194.67,904016.533,0.0001,4136.627,1.0,2024-01-23T14:38:00+00:00,72913.804,1981630669.124,9674,1981519139.121,902534.435,6,33.243,6046,27517342.88400004,18456128.08900015,0,9061214.795000004,2182.76,8426.4170000001,904016.533,-0.004281419,2182.81,1970250722.294,2024-01-23T14:33:00+00:00,65afcf4958261bef19b42ea9,0.0,12563.0440000002,2192.87,33.243,binance-futures,0.0,72913.804,ETH,3628,
3026,2024-01-23 14:36:00,ETHUSDT,2194.67,904016.533,0.0001,4136.627,1.0,2024-01-23T14:38:27+00:00,72913.804,1981630669.124,9674,1981519139.121,902534.435,6,33.243,6046,27517342.88400004,18456128.08900015,0,9061214.795000004,2182.76,8426.4170000001,904016.533,-0.004281419,2182.81,1970250722.294,2024-01-23T14:28:27+00:00,65afcf6df66e5d392e2e7c4a,0.0,12563.0440000002,2192.87,33.243,binance-futures,0.0,72913.804,ETH,3628,
3027,2024-01-23 14:37:00,ETHUSDT,2193.52,904636.333,0.0001,2557.479,1.0,2024-01-23T14:38:27+00:00,0.0,1982181308.27,5900,1980509481.906,904016.533,0,0.0,2447,9636886.036999986,4035767.095999967,0,5601118.941000016,2188.4,1842.601,904636.333,-0.1013997298,2192.87,1978639066.108,2024-01-23T14:28:27+00:00,65afcf6ef66e5d392e2e7c4e,0.0,4400.08,2188.83,0.0,binance-futures,0.0,0.0,ETH,3453,
3028,2024-01-23 14:37:00,ETHUSDT,2193.52,904636.333,0.0001,2557.479,1.0,2024-01-23T14:39:00+00:00,0.0,1982181308.27,5900,1980509481.906,904016.533,0,0.0,2447,9636886.036999986,4035767.095999967,0,5601118.941000016,2188.4,1842.601,904636.333,-0.1013997298,2192.87,1978639066.108,2024-01-23T14:34:00+00:00,65afcf8558261bef19b42ec1,0.0,4400.08,2188.83,0.0,binance-futures,0.0,0.0,ETH,3453,
